crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
17,7,7,7,7,7,7,7,0,0,0,0,0,0
12,11,11,11,11,5,11,5,0,0,0,0,0,0
14,14,14,14,14,9,14,7,0,0,0,0,0,0
15,14,14,16,14,11,14,16,1,0,0,0,1,0
18,15,16,15,15,16,15,15,0,0,1,0,0,1
18,16,16,16,16,16,16,16,0,0,0,0,0,0
15,14,14,14,14,14,14,14,0,0,0,0,0,0
13,8,8,15,8,8,8,8,0,0,0,0,1,0
9,3,3,19,3,16,9,6,1,1,1,0,1,0
3,6,6,16,6,11,6,6,0,0,1,0,1,0
3,12,12,15,12,15,12,12,0,0,1,0,1,0
12,4,4,12,14,4,16,16,1,1,0,1,1,0
12,19,6,19,19,19,19,19,0,0,0,0,0,0
16,18,18,16,18,10,18,18,0,0,0,0,0,0
11,10,13,5,10,13,5,13,1,0,1,0,0,1
14,12,12,5,5,11,12,5,0,0,0,0,0,0
10,19,19,19,19,19,19,19,0,0,0,0,0,0
13,4,4,4,4,4,4,4,0,0,0,0,0,0
17,1,11,7,11,1,6,7,1,1,0,1,1,1
18,17,10,17,17,17,10,17,0,0,0,0,0,0
11,15,15,15,15,13,15,15,0,0,0,0,0,0
3,2,15,15,2,4,15,2,0,1,1,0,1,1
7,17,17,17,3,17,10,17,0,0,0,0,0,0
17,8,8,18,18,13,8,18,1,0,1,1,1,0
4,7,7,7,7,7,7,7,0,0,0,0,0,0
9,5,5,14,6,5,5,6,1,0,0,1,1,0
8,12,15,16,12,16,16,5,0,1,1,0,1,1
15,13,9,16,13,12,13,16,1,0,0,0,1,0
17,12,12,12,12,12,12,12,0,0,0,0,0,0
3,9,13,11,9,3,11,9,0,1,0,0,1,1
